Country Name,Indicator Name,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Intentional homicides, male (per 100,000 male)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Battle-related deaths (number of people),,,41,47,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Voice and Accountability: Percentile Rank,,30.04926109,30.54187202,30.04926109,27.18446541,26.57004738,26.57004738,28.01932335,28.01932335,27.45098114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Transport services (% of commercial service exports),,23.93811052,20.82030083,21.48418752,22.04889827,19.5597591,22.25700979,27.1626994,25.52041094,17.1766372,23.49514072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Computer, communications and other services (% of commercial service exports)",,62.89712787,64.06830471,57.20210861,62.31390322,63.57828279,67.39562094,64.56585636,63.53717448,67.81705662,65.56659993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",,9.67E-16,-9.61E-16,0,0,0,0.001857076,0.017392546,0.009779607,0.018412971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),,1.258865088,1.025530567,1.121373481,1.41983486,1.437874122,1.170179364,1.137799344,1.294551147,1.555204919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Merchandise exports to high-income economies (% of total merchandise exports),,88.6322488,88.47245445,88.910973,89.00768667,89.08742691,89.05387423,88.45840647,89.88854788,88.53051062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Manufactures exports (% of merchandise exports),,95.81230186,95.02340671,95.19793515,94.4530527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Food exports (% of merchandise exports),,2.705992787,3.035674996,3.112666436,3.3870926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Medium and high-tech exports (% manufactured exports),,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,1.869677896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Commercial service imports (current US$),,7391614350,7600059825,8275137884,9271706691,9333944068,7574219065,10479471320,11786316703,10723572631,11885231110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Merchandise imports by the reporting economy (current US$),,36101387556,37987301080,44248899453,51428560839,51303304301,43053874821,64639175885,79915840407,61311067158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),,0.965738745,0.906660998,0.527515359,0.538271446,0.838232967,0.901923099,1.194650335,2.532813837,1.360748292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),,43.864096,44.9653321,43.89728237,44.93944528,45.86845765,46.69760664,47.27234555,48.83739637,50.58131913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Ores and metals imports (% of merchandise imports),,2.682702116,3.099198316,3.677035008,3.791819355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Fuel imports (% of merchandise imports),,10.86158575,10.53915608,10.42074871,10.12153168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Tariff rate, most favored nation, weighted mean, primary products (%)",,7.33,8.02,,,5.1,6.23,6.21,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Bound rate, simple mean, primary products (%)",,178.99,178.99,,,179.79,179.79,179.79,179.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Tariff rate, most favored nation, simple mean, all products (%)",,13.88,13.88,,,14.04,14.04,14.05,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",,13.87,12.79,,,11.99,13.86,13.84,13.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Bound rate, simple mean, manufactured products (%)",,69.18,69.18,,,69.82,69.82,69.82,69.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"International tourism, expenditures (% of total imports)",,1.814561302,1.750125355,1.985381013,1.840353977,2.16241812,1.160694395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
